% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
,100.00,,,,"Air Conditioning, Recycling, Patio, Wheelchair Accessible (Rooms)",0.91,909,1000,C,,Battle Ground,19.58,"Air Conditioning, Recycling, Patio, Wheelchair Accessible (Rooms)",,1.71,45.7889080,,-122.5375390,0,2,30,,,Not Disclosed,33000,,Garden,Outlying Clark  County,,1000,1990,,98604,MK
10.29,89.71,,,,"Air Conditioning, Clubhouse, Fitness Center, Playground, Property Manager on Site, Package Service, Lounge, Maintenance on site, Dining Room, Vinyl Flooring, Window Coverings",2.01,1708,850,C,,Vancouver,14.51,"Air Conditioning, Clubhouse, Fitness Center, Playground, Property Manager on Site, Package Service, Lounge, Maintenance on site, Dining Room, Vinyl Flooring, Window Coverings",,6,45.6867840,,-122.6563320,0,2,136,850,0.99,Not Disclosed,115600,,Garden,Northeast Hazel Dell,,850,1982,,98665-9193,R-43
,,,,100.00,Laundry Facilities,,,495,C,,Vancouver,14.57,Laundry Facilities,,0.79,45.6879480,,-122.6571220,0,2,24,,2.54,Not Disclosed,20450,495,Low-Rise,Northeast Hazel Dell,,,1984,,98665-9088,MH
11.11,60.00,28.89,,,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Spa, Gameroom, Grill, Pet Play Area, Renters Insurance Program",1.77,1647,929,B,,Vancouver,14.65,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Pool, Spa, Gameroom, Grill, Pet Play Area, Renters Insurance Program",,9.58,45.6887010,,-122.6560670,0,3,270,650,1.98,Not Disclosed,251010,,Garden,Northeast Hazel Dell,1150,875,1989,,98665,R-43
28.24,71.76,,,,"Air Conditioning, Clubhouse, Fitness Center, Property Manager on Site, Spa, Recycling, Maintenance on site, Deck, Patio",1.93,1717,890,C,,Gresham,0.74,"Air Conditioning, Clubhouse, Fitness Center, Property Manager on Site, Spa, Recycling, Maintenance on site, Deck, Patio",,3.84,45.5077971,,-122.4160522,0,3,85,716,,Not Disclosed,93088,,Garden,Gresham-North Central,,959,1991,,97030,MDR-24
6.02,72.29,21.69,,,"Clubhouse, Fitness Center, Property Manager on Site, Spa",1.54,1580,1025,C,,Vancouver,14.52,"Clubhouse, Fitness Center, Property Manager on Site, Spa",,4.21,45.6671165,,-122.6557144,0,2,83,680,1.81,Not Disclosed,113260,,Garden,Northeast Hazel Dell,1112,1026,1987,,98665-0384,"R43, Vancouver"
,,,,100.00,"Clubhouse, Sauna, Gameroom, Bicycle Storage",2.71,1034,381,B,,Portland,0.23,"Clubhouse, Sauna, Gameroom, Bicycle Storage",,0.1599,45.5273542,,-122.6881544,0,4,37,,,Not Disclosed,25000,381,Mid-Rise,Uptown Portland,,,1980,,97209,
50.00,50.00,,,,"24 Hour Access, Business Center, Laundry Facilities, Spa, Wi-Fi, Smoke Free, Public Transportation",1.86,1398,750,B,,Vancouver,9.81,"24 Hour Access, Business Center, Laundry Facilities, Spa, Wi-Fi, Smoke Free, Public Transportation",,1.8296,45.6356600,,-122.6247840,0,3,48,700,2.92,Not Disclosed,36655,,Garden,Meadow Homes,,800,1989,,98661,MD
,100.00,,,,"Air Conditioning, Laundry Facilities, Property Manager on Site, Wheelchair Accessible (Rooms)",1.30,1298,995,C,,Vancouver,7.43,"Air Conditioning, Laundry Facilities, Property Manager on Site, Wheelchair Accessible (Rooms)",,3.82,45.6370470,,-122.5590570,0,2,64,,1.29,Not Disclosed,65650,,Garden,Landover-Sharmel,,995,1998,,98684,R-
,40.00,60.00,,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.26,1320,1050,C,,Vancouver,8.65,"Air Conditioning, Wheelchair Accessible (Rooms)",,0.99,45.6360833,,-122.5316387,0,2,20,,1.65,Not Disclosed,21000,,Low-Rise,Landover-Sharmel,1150,900,1996,,98684-7274,"R-22, Vancouver"
